Account ID,First name,Last name,Mid name,Gender,Birthday,Role,Email,Phone number,Salt,Hash
1,Королева,Клавдия,Петровна,F,1976-07-11,teacher,zinaida_1982@example.net,84844955126,_b20dYdv,9284e9f5977f6c8deab2645c8eaee4d9dc833504
2,Лебедева,Евфросиния,Олеговна,F,1964-10-02,teacher,evstigne74@example.com,83079468346,$*JD0Xqs,1d582cb96882631d83ebc946528cec057f620cd4
3,Громов,Вениамин,Валерьевич,M,1956-05-05,teacher,savelevamarija@example.com,80431345032,&S9WSkfh,c84b7ddaea39ffc9f4b4352def8f905840d5cde6
4,Исидор,Герасимович,Большаков,M,1979-07-14,teacher,tihon_2021@example.net,87564339079,#*#9nJxM,09617b193f05564e8e5cfe8d98fae730141beb60
5,Виноградов,Любомир,Власович,M,1966-01-04,teacher,evfrosinija_2014@example.org,88742444599,&8pDktuY,e2fefdfcac6b3bdc9b946bca2da29050387de74f
6,Мельников,Любосмысл,Феодосьевич,M,1985-08-10,teacher,feoktist_1977@example.com,84231416110,+9JxFjMu,ffbfad5d861a3db8daf0905a771a33b7097be0d6
7,Соколова,София,Даниловна,F,1973-03-22,teacher,martinovferapont@example.net,89276509312,$2BeyCnw,e3fcf61d4a8f387730836387075158308034d428
8,Ульян,Владиславович,Савельев,M,1967-04-07,teacher,epopova@example.net,89614379464,c2@7R!hx,caa212784c5a516f693fdf71e4d10aa11c78c3f0
9,Аникита,Валерьевич,Дорофеев,M,1952-09-14,teacher,kira_98@example.org,85179246735,#1BPWcC9,b60a476d81a1ef76652f4ecc5740d59026a863fe
10,Кузьмина,Любовь,Леоновна,F,1969-02-07,teacher,elizar2002@example.net,85135548945,t_j6ERj_,0d72998b1e3016f9cae0b072924110731be6796f
11,Антип,Чеславович,Большаков,M,1960-01-18,teacher,sazonovaksenija@example.net,80789264248,%G7THdNg,481216b8dcbf6bad68a67b88f8c6bbd5b66083ab
12,Жанна,Георгиевна,Кабанова,F,1979-07-09,teacher,amvrosi_10@example.com,86575347227,M$5P!Xyv,51bfb7d6551be719d4bc6b419e76972a80e70e8e
13,Моисеев,Панкратий,Витальевич,M,1962-02-19,teacher,bkomarova@example.net,86960911161,FzyA#9Uf,a480c6cc710da856637fe8a999dfe19a88d530fe
14,Марфа,Геннадьевна,Сидорова,F,1971-08-01,teacher,modest2014@example.org,87160223543,L@Es6Gmo,5b2ea437c964c6e15d9ca7d5e91270d7b39c52ad
